DocType: Accounting Period,Period Name,Nama Periode
apps/erpnext/erpnext/accounts/doctype/cheque_print_template/cheque_print_template.js,Account Pay Only,Akun Pembayaran Saja
DocType: Loan,Repay Over Number of Periods,Membayar Lebih dari Jumlah Periode
apps/erpnext/erpnext/manufacturing/report/bom_stock_report/bom_stock_report.py,Quantity to Produce can not be less than Zero,Kuantitas untuk Menghasilkan tidak boleh kurang dari Nol
DocType: Stock Entry,Additional Costs,Biaya Tambahan
apps/erpnext/erpnext/accounts/doctype/account/account.py,Account with existing transaction can not be converted to group.,Akun yang sudah ada transaksi tidak bisa diubah menjadi kelompok.
DocType: Lead,Product Enquiry,Produk Enquiry
DocType: Education Settings,Validate Batch for Students in Student Group,Validasi Batch untuk Siswa di Kelompok Siswa
apps/erpnext/erpnext/hr/doctype/attendance/attendance.py,No leave record found for employee {0} for {1},Tidak ada data cuti ditemukan untuk karyawan {0} untuk {1}
DocType: Company,Unrealized Exchange Gain/Loss Account,Akun Laba/Rugi Valas Belum Terealisasi
apps/erpnext/erpnext/stock/doctype/landed_cost_voucher/landed_cost_voucher.js,Please enter company first,Silahkan masukkan perusahaan terlebih dahulu
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Please select Company first,Silakan pilih Perusahaan terlebih dahulu
DocType: Employee Education,Under Graduate,Sarjana
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py,Please set default template for Leave Status Notification in HR Settings.,Silakan mengatur template standar untuk Notifikasi Status Cuti di Pengaturan HR.
apps/erpnext/erpnext/selling/report/sales_partner_target_variance_based_on_item_group/sales_partner_target_variance_based_on_item_group.js,Target On,Sasaran On
DocType: BOM,Total Cost,Total Biaya
apps/erpnext/erpnext/hr/doctype/leave_allocation/leave_allocation.js,Allocation Expired!,Alokasi Berakhir!
DocType: Soil Analysis,Ca/K,Ca/K
DocType: Leave Type,Maximum Carry Forwarded Leaves,Maksimum Cuti Disimpan
DocType: Salary Slip,Employee Loan,Pinjaman karyawan
DocType: Additional Salary,HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-
DocType: Fee Schedule,Send Payment Request Email,Kirim Permintaan Pembayaran Email
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py,Item {0} does not exist in the system or has expired,Item {0} tidak ada dalam sistem atau telah berakhir
DocType: Supplier,Leave blank if the Supplier is blocked indefinitely,Biarkan kosong jika Pemasok diblokir tanpa batas waktu
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Real Estate,Real Estate
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html,Statement of Account,Laporan Akun
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Pharmaceuticals,Farmasi
DocType: Purchase Invoice Item,Is Fixed Asset,Adalah Aset Tetap
apps/erpnext/erpnext/accounts/report/accounts_receivable/accounts_receivable.js,Show Future Payments,Tampilkan Pembayaran di Masa Mendatang
DocType: Patient,HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,This bank account is already synchronized,Rekening bank ini sudah disinkronkan
DocType: Homepage,Homepage Section,Bagian Beranda
apps/erpnext/erpnext/manufacturing/doctype/work_order/work_order.py,Work Order has been {0},Perintah Kerja telah {0}
DocType: Budget,Applicable on Purchase Order,Berlaku pada Order Pembelian
DocType: Item,STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
apps/erpnext/erpnext/hr/doctype/hr_settings/hr_settings.py,Password policy for Salary Slips is not set,Kebijakan kata sandi untuk Slip Gaji tidak diatur
apps/erpnext/erpnext/accounts/doctype/pos_profile/pos_profile.py,Duplicate customer group found in the cutomer group table,kelompok pelanggan duplikat ditemukan di tabel kelompok cutomer
DocType: Location,Location Name,Nama lokasi
DocType: Quality Procedure Table,Responsible Individual,Penanggung Jawab
DocType: Naming Series,Prefix,Awalan
apps/erpnext/erpnext/hr/notification/training_scheduled/training_scheduled.html,Event Location,Lokasi Event
apps/erpnext/erpnext/selling/report/customer_wise_item_price/customer_wise_item_price.py,Available Stock,Stok Tersedia
DocType: Asset Settings,Asset Settings,Pengaturan Aset
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Consumable,Consumable
DocType: Student,B-,B-
DocType: Assessment Result,Grade,Kelas
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js,Item Code &gt; Item Group &gt; Brand,Kode Barang&gt; Kelompok Barang&gt; Merek
DocType: Restaurant Table,No of Seats,Jumlah Kursi
DocType: Sales Invoice,Overdue and Discounted,Tertunggak dan Didiskon
apps/erpnext/erpnext/public/js/call_popup/call_popup.js,Call Disconnected,Panggilan Terputus
DocType: Sales Invoice Item,Delivered By Supplier,Dikirim Oleh Pemasok
DocType: Asset Maintenance Task,Asset Maintenance Task,Tugas Pemeliharaan Aset
DocType: SMS Center,All Contact,Semua Kontak
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Annual Salary,Gaji Tahunan
DocType: Daily Work Summary,Daily Work Summary,Ringkasan Pekerjaan sehari-hari
DocType: Period Closing Voucher,Closing Fiscal Year,Penutupan Tahun Anggaran
apps/erpnext/erpnext/accounts/party.py,{0} {1} is frozen,{0} {1} dibekukan
apps/erpnext/erpnext/setup/doctype/company/company.py,Please select Existing Company for creating Chart of Accounts,Silakan pilih Perusahaan untuk membuat Bagan Akun
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts_with_account_number.py,Stock Expenses,Beban Persediaan
apps/erpnext/erpnext/stock/doctype/batch/batch.js,Select Target Warehouse,Pilih Gudang Tujuan
apps/erpnext/erpnext/hr/doctype/employee/employee.js,Please enter Preferred Contact Email,Silahkan masukkan Email Kontak Utama
DocType: Purchase Invoice Item,Accepted Qty,Qty Diterima
DocType: Journal Entry,Contra Entry,Entri Lawan
DocType: Journal Entry Account,Credit in Company Currency,Kredit di Valuta Perusahaan
DocType: Lab Test UOM,Lab Test UOM,SU Uji Lab
DocType: Delivery Note,Installation Status,Status Instalasi
DocType: BOM,Quality Inspection Template,Template Pemeriksaan Kualitas
apps/erpnext/erpnext/education/doctype/student_attendance_tool/student_attendance_tool.js,"Do you want to update attendance?<br>Present: {0}\
					<br>Absent: {1}",Apakah anda ingin memperbarui kehadiran? <br> Hadir: {0} \ <br> Absen: {1}
apps/erpnext/erpnext/controllers/buying_controller.py,Accepted + Rejected Qty must be equal to Received quantity for Item {0},Jumlah Diterima + Ditolak harus sama dengan jumlah diterima untuk Item {0}
DocType: Item,Supply Raw Materials for Purchase,Pasok Bahan Baku untuk Pembelian
DocType: Agriculture Analysis Criteria,Fertilizer,Pupuk
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,"Cannot ensure delivery by Serial No as \
				Item {0} is added with and without Ensure Delivery by \
				Serial No.","Tidak bisa memastikan pengiriman menurut Nomor Seri karena \  				Item {0} ditambahkan dengan dan tanpa Pastikan Pengiriman menurut \ 				Nomor Seri."
apps/erpnext/erpnext/accounts/doctype/sales_invoice/sales_invoice.py,At least one mode of payment is required for POS invoice.,Setidaknya satu cara pembayaran diperlukan untuk Faktur POS.
apps/erpnext/erpnext/stock/doctype/stock_reconciliation/stock_reconciliation.py,Batch no is required for batched item {0},Nomor batch harus diisi untuk item batch {0}
DocType: Bank Statement Transaction Invoice Item,Bank Statement Transaction Invoice Item,Item Faktur Transaksi Rekening Koran Bank
DocType: Salary Detail,Tax on flexible benefit,Pajak atas tunjangan fleksibel
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Item {0} is not active or end of life has been reached,Item {0} tidak aktif atau akhir hidup telah tercapai
DocType: Student Admission Program,Minimum Age,Usia Minimum
apps/erpnext/erpnext/utilities/user_progress.py,Example: Basic Mathematics,Contoh: Matematika Dasar
DocType: Customer,Primary Address,Alamat Utama
apps/erpnext/erpnext/manufacturing/report/bom_stock_calculated/bom_stock_calculated.py,Diff Qty,Qty Diff
DocType: Production Plan,Material Request Detail,Rincian Permintaan Material
DocType: Selling Settings,Default Quotation Validity Days,Lama Hari Validitas Penawaran Standar
apps/erpnext/erpnext/controllers/accounts_controller.py,"To include tax in row {0} in Item rate, taxes in rows {1} must also be included","Untuk mencakup pajak berturut-turut {0} di tingkat Stok Barang, pajak dalam baris {1} juga harus disertakan"
apps/erpnext/erpnext/config/quality_management.py,Quality Procedure.,Prosedur Kualitas.
DocType: SMS Center,SMS Center,Pusat SMS
DocType: Payroll Entry,Validate Attendance,Validasi Kehadiran
DocType: Sales Invoice,Change Amount,Jumlah Kembalian
DocType: Party Tax Withholding Config,Certificate Received,Sertifikat Diterima
DocType: GST Settings,Set Invoice Value for B2C. B2CL and B2CS calculated based on this invoice value.,Tetapkan Nilai Faktur untuk B2C. B2CL dan B2CS dihitung berdasarkan nilai faktur ini.
DocType: BOM Update Tool,New BOM,BOM Baru
apps/erpnext/erpnext/healthcare/doctype/patient_appointment/patient_appointment.js,Prescribed Procedures,Prosedur Ditetapkan
apps/erpnext/erpnext/accounts/report/sales_payment_summary/sales_payment_summary.js,Show only POS,Hanya tampilkan POS
DocType: Supplier Group,Supplier Group Name,Nama Kelompok Pemasok
DocType: Driver,Driving License Categories,Kategori Lisensi Mengemudi
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py,Please enter Delivery Date,Harap masukkan Tanggal Pengiriman
DocType: Depreciation Schedule,Make Depreciation Entry,Membuat Penyusutan Masuk
DocType: Closed Document,Closed Document,Dokumen Tertutup
DocType: HR Settings,Leave Settings,Pengaturan Cuti
DocType: Appraisal Template Goal,KRA,KRA
DocType: Lead,Request Type,Permintaan Type
DocType: Purpose of Travel,Purpose of Travel,Maksud Perjalanan
DocType: Payroll Period,Payroll Periods,Periode Penggajian
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Broadcasting,Penyiaran
apps/erpnext/erpnext/config/retail.py,Setup mode of POS (Online / Offline),Modus setup POS (Online / Offline)
DocType: Manufacturing Settings,Disables creation of time logs against Work Orders. Operations shall not be tracked against Work Order,Nonaktifkan pembuatan log waktu terhadap Perintah Kerja. Operasional tidak dilacak terhadap Perintah Kerja
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Execution,Pelaksanaan
apps/erpnext/erpnext/config/manufacturing.py,Details of the operations carried out.,Rincian operasi yang dijalankan.
DocType: Asset Maintenance Log,Maintenance Status,Status pemeliharaan
DocType: Purchase Invoice Item,Item Tax Amount Included in Value,Jumlah Pajak Termasuk dalam Nilai
apps/erpnext/erpnext/non_profit/doctype/member/member_dashboard.py,Membership Details,Rincian Keanggotaan
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py,{0} {1}: Supplier is required against Payable account {2},{0} {1}: Pemasok harus diisi untuk akun Hutang {2}
apps/erpnext/erpnext/config/buying.py,Items and Pricing,Item dan Harga
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.html,Total hours: {0},Jumlah jam: {0}
apps/erpnext/erpnext/accounts/report/trial_balance/trial_balance.py,From Date should be within the Fiscal Year. Assuming From Date = {0},Tanggal Mulai harus dalam Tahun Anggaran. Dengan asumsi Tanggal Mulai = {0}
DocType: Patient Medical Record,HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
DocType: Drug Prescription,Interval,Selang
DocType: Pricing Rule,Promotional Scheme Id,Id Skema Promosi
apps/erpnext/erpnext/setup/setup_wizard/operations/install_fixtures.py,Preference,Pilihan
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,Inward Supplies(liable to reverse charge,Persediaan Ke Dalam (bertanggung jawab untuk membalikkan biaya
DocType: Supplier,Individual,Individu
DocType: Academic Term,Academics User,Pengguna Akademis
DocType: Cheque Print Template,Amount In Figure,Jumlah Dalam Huruf
DocType: Loan Application,Loan Info,Info kredit
apps/erpnext/erpnext/regional/doctype/gstr_3b_report/gstr_3b_report.html,All Other ITC,Semua ITC Lainnya
apps/erpnext/erpnext/config/crm.py,Plan for maintenance visits.,Rencana kunjungan pemeliharaan.
DocType: Supplier Scorecard Period,Supplier Scorecard Period,Periode Scorecard Pemasok
DocType: Support Settings,Search APIs,API Pencarian
DocType: Share Transfer,Share Transfer,Pengalihan Saham
,Expiring Memberships,Keanggotaan Kadaluarsa
apps/erpnext/erpnext/templates/pages/home.html,Read blog,Baca blog
DocType: POS Profile,Customer Groups,Kelompok Pelanggan
apps/erpnext/erpnext/public/js/financial_statements.js,Financial Statements,Laporan Keuangan
DocType: Guardian,Students,Siswa
apps/erpnext/erpnext/config/buying.py,Rules for applying pricing and discount.,Aturan untuk menerapkan harga dan diskon.
DocType: Daily Work Summary,Daily Work Summary Group,Kelompok Ringkasan Pekerjaan Harian
DocType: Practitioner Schedule,Time Slots,Slot Waktu
apps/erpnext/erpnext/stock/doctype/price_list/price_list.py,Price List must be applicable for Buying or Selling,Daftar Harga harus berlaku untuk Beli atau Jual
DocType: Shift Assignment,Shift Request,Permintaan Shift
apps/erpnext/erpnext/selling/doctype/installation_note/installation_note.py,Installation date cannot be before delivery date for Item {0},Tanggal instalasi tidak bisa sebelum tanggal pengiriman untuk Item {0}
DocType: Purchase Invoice Item,Discount on Price List Rate (%),Diskon pada Tarif Daftar Harga (%)
apps/erpnext/erpnext/public/js/utils/item_quick_entry.js,Item Template,Template Item
DocType: Job Offer,Select Terms and Conditions,Pilih Syarat dan Ketentuan
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py,Out Value,Nilai Keluar
DocType: Bank Statement Settings Item,Bank Statement Settings Item,Item Pengaturan Rekening Koran Bank
DocType: Woocommerce Settings,Woocommerce Settings,Pengaturan Woocommerce
DocType: Leave Ledger Entry,Transaction Name,Nama Transaksi
DocType: Production Plan,Sales Orders,Order Penjualan
apps/erpnext/erpnext/selling/doctype/customer/customer.py,Multiple Loyalty Program found for the Customer. Please select manually.,Beberapa Program Loyalitas yang ditemukan untuk Pelanggan. Silakan pilih secara manual.
DocType: Purchase Taxes and Charges,Valuation,Valuasi
apps/erpnext/erpnext/selling/page/point_of_sale/point_of_sale.js,Set as Default,Set sebagai Standar
apps/erpnext/erpnext/stock/doctype/batch/batch.py,Expiry date is mandatory for selected item.,Tanggal kedaluwarsa wajib untuk item yang dipilih.
,Purchase Order Trends,Tren Order Pembelian
apps/erpnext/erpnext/utilities/user_progress.py,Go to Customers,Pergi ke pelanggan
DocType: Hotel Room Reservation,Late Checkin,Late Checkin
apps/erpnext/erpnext/accounts/page/bank_reconciliation/bank_reconciliation.js,Finding linked payments,Menemukan pembayaran terkait
apps/erpnext/erpnext/templates/emails/request_for_quotation.html,The request for quotation can be accessed by clicking on the following link,Permintaan untuk kutipan dapat diakses dengan mengklik tautan berikut
DocType: Quiz Result,Selected Option,Opsi Dipilih
DocType: SG Creation Tool Course,SG Creation Tool Course,Kursus Alat Pembuatan GS
DocType: Bank Statement Transaction Invoice Item,Payment Description,Deskripsi pembayaran
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py,Insufficient Stock,Persediaan tidak cukup
DocType: Manufacturing Settings,Disable Capacity Planning and Time Tracking,Nonaktifkan Perencanaan Kapasitas dan Waktu Pelacakan
DocType: Email Digest,New Sales Orders,Penjualan New Orders
DocType: Bank Account,Bank Account,Akun Bank
DocType: Travel Itinerary,Check-out Date,Tanggal Check-out
DocType: Leave Type,Allow Negative Balance,Izinkan Saldo Negatif
apps/erpnext/erpnext/projects/doctype/project_type/project_type.py,You cannot delete Project Type 'External',Anda tidak bisa menghapus Jenis Proyek 'Eksternal'
apps/erpnext/erpnext/public/js/utils.js,Select Alternate Item,Pilih Item Alternatif
DocType: Employee,Create User,Buat Pengguna
DocType: Selling Settings,Default Territory,Wilayah Standar
apps/erpnext/erpnext/setup/setup_wizard/data/industry_type.py,Television,Televisi
DocType: Work Order Operation,Updated via 'Time Log',Diperbarui melalui 'Log Waktu'
apps/erpnext/erpnext/accounts/doctype/bank_guarantee/bank_guarantee.py,Select the customer or supplier.,Pilih pelanggan atau pemasok.
